txn_id,user_id,txn_time,amount,merchant_type,txn_type,device,location,ip_address
1,328,2025-06-02 07:58:54,2227.51,travel,online,77d987d0-3fc0-4390-af7f-43355c081936,United States of America,23.184.213.236
2,53,2025-06-02 07:58:37,13534.31,retail,online,4d9abb18-2aa5-47d4-b945-9ec1b2a8ab20,Kuwait,188.97.228.249
3,16,2025-06-02 07:59:07,1874.81,gaming,international,d42f4c20-e3d6-43a1-9258-ed47de36c4e4,Japan,8.197.175.43
4,367,2025-06-02 07:58:36,12998.04,retail,in-person,6f8ba65f-6e6b-4711-9845-80188a3ee6eb,Cocos (Keeling) Islands,189.67.32.202
5,143,2025-06-02 07:59:24,16188.8,e-commerce,online,9c7a04c3-8e0c-4890-a780-a40d8538c5ca,Poland,192.169.70.13
6,143,2025-06-02 07:57:33,3110.43,travel,online,5ff10f39-7b49-48d7-8f30-8c09c30496e1,Greece,173.170.242.88
7,184,2025-06-02 07:56:03,16950.04,retail,in-person,55d5b7b0-a964-4319-b0a3-4d7f71ba5bde,Lao People's Democratic Republic,123.33.234.59
8,236,2025-06-02 07:54:30,10725.03,crypto,online,8fdb29e3-8d60-42e7-a989-4c2a18572c2f,Niue,89.218.176.65
9,322,2025-06-02 07:54:39,12370.78,travel,international,7761521f-3b36-453d-9103-05c0360beeb4,Dominican Republic,176.116.239.211
10,24,2025-06-02 07:58:42,13225.61,travel,online,054dcf54-ef0b-4ec0-a803-a57481b83d6d,British Virgin Islands,199.92.37.160
11,52,2025-06-02 07:58:54,7603.14,crypto,international,c9acc301-a5e7-4cb8-8007-614bd5bdd1c3,Norway,209.43.51.251
12,190,2025-06-02 07:56:27,7106.06,travel,international,4bc06e85-4b4a-49db-9c20-a8b9eda93e74,Guadeloupe,41.105.199.117
13,37,2025-06-02 07:54:43,12183.01,gaming,international,61566258-8558-4ed9-9d13-4981ecde833b,Kazakhstan,152.39.75.117
14,237,2025-06-02 08:00:11,7589.73,retail,online,39e8528e-ed06-4969-a4b6-8fe1d9b58a75,French Southern Territories,96.239.6.204
15,394,2025-06-02 07:59:10,15520.22,gaming,online,cc67855f-db0d-4d86-bf1d-490b2dcea98d,Gabon,161.17.71.68
16,138,2025-06-02 07:56:10,1324.71,retail,international,8dd4fc91-d395-44c1-a317-e65761e75bd1,Niue,16.186.139.254
17,256,2025-06-02 07:59:50,7913.24,crypto,online,e8dca89d-7731-4eed-9800-a4fd6d9559fc,Costa Rica,210.157.88.74
18,382,2025-06-02 07:56:25,11227.8,travel,international,40b94ed3-d1cd-4b18-bf7e-33f0c748b43c,United States Minor Outlying Islands,189.82.213.223
19,299,2025-06-02 07:59:33,7988.61,gaming,online,634e8f65-9941-4bee-90f7-1df6f9c2eda0,Nicaragua,34.73.213.210
20,387,2025-06-02 08:00:09,943.28,e-commerce,online,98f9327a-f729-4d92-8ffa-3c123ac34e3f,Mayotte,16.171.102.27
21,349,2025-06-02 07:54:48,8443.78,e-commerce,in-person,db8cefb5-d4e9-40b3-a080-befa10aacaad,South Africa,136.119.124.165
22,240,2025-06-02 07:55:27,10582.76,retail,online,5971fae8-878d-4c4e-a2c9-0061f7ced967,Isle of Man,156.96.69.12
23,350,2025-06-02 07:59:56,17695.88,travel,international,d24481dc-d876-438a-bee4-046d558b789d,Guinea-Bissau,70.248.223.115
24,223,2025-06-02 07:55:57,3164.0,e-commerce,international,d8aed76a-dedd-424d-8549-3a06d3836656,Dominican Republic,180.55.127.174
25,498,2025-06-02 07:55:45,10012.22,gaming,international,4959add6-911f-4408-a482-b6efbac8b4e6,Mozambique,16.188.222.97
26,321,2025-06-02 07:59:19,5969.6,retail,international,6cf6d949-4304-4fcc-bbbb-16e720335b5a,United Kingdom,96.234.125.105
27,391,2025-06-02 07:58:31,3231.82,retail,online,8139d6ba-2d96-4ba8-bd6b-37f8562d227d,Dominica,194.110.50.174
28,10,2025-06-02 07:58:41,2238.24,travel,in-person,9cdf56ef-caee-4375-8f91-b8e21ab8ffa7,Austria,61.227.64.201
29,450,2025-06-02 07:56:04,11347.57,e-commerce,online,ca5045be-f8a6-403e-83c8-17e9148fa842,Moldova,63.173.50.57
30,36,2025-06-02 07:56:41,19559.71,retail,online,d2a58407-8edb-459d-8c0b-103563f9543d,Georgia,104.1.63.255
31,485,2025-06-02 07:55:40,10996.52,travel,international,df1853f5-5163-4d58-9f73-b014841544e6,Bosnia and Herzegovina,74.4.223.204
32,494,2025-06-02 07:56:56,4236.75,retail,international,1d6de51e-7a38-4b4b-869f-529cda36058c,Burkina Faso,141.239.140.95
33,160,2025-06-02 07:58:26,7980.45,travel,in-person,07f6ba21-8f23-4d9a-a40c-8366bffeff75,Serbia,2.182.210.209
